Run,Checkpoint,Modo,Seed,estado,origen,destino
r64_a128_d0,epoch_160_loss_0.1725,lydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_lydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\lydian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,mixolydian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_mixolydian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\mixolydian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,mixolydian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_mixolydian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\mixolydian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,aeolian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_aeolian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\aeolian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,aeolian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_aeolian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\aeolian_seed2222.flac
r64_a128_d0,epoch_160_loss_0.1725,locrian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_locrian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\locrian_seed1111.flac
r64_a128_d0,epoch_160_loss_0.1725,locrian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_160_loss_0.1725_locrian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_160_loss_0.1725\locrian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,ionian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_ionian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\ionian_seed1111.flac
r64_a128_d0,epoch_180_loss_0.1748,ionian,2222,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_ionian_seed2222.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\ionian_seed2222.flac
r64_a128_d0,epoch_180_loss_0.1748,dorian,1111,OK,gradio_outputs\modal_eval_r64_a128_d0\epoch_180_loss_0.1748_dorian_seed1111.flac,audios_unificados\r64_a128_d0\epoch_180_loss_0.1748\dorian_seed1111.flac
